Class,Enemy Type,Poetic Line,Diagnosis,Solo Solution,Co-op Solution,Death Count,Notes
Brawler,Kiter,Even the strongest armor becomes brittle when the enemy won't stand and fight.,Kiters flee from melee range negating your strength.,Seek ranged weapons / dash abilities / slow effects to adapt your build.,Draw aggro while ranged allies pin them down or zone them into corners together.,1,First death teaching moment
Brawler,Kiter,Pride kept you charging forward. Distance kept them alive. You cannot win a fight you cannot reach.,You repeatedly died trying to close the gap against enemies designed to flee.,Stop chasing. Find ranged options or mobility items.,Let ranged teammates handle kiters while you protect them from rushers.,2,Escalated - repeated failure
Brawler,Kiter,STUBBORN FOOL. Adapt or perish. Find ranged weapons or die chasing shadows.,Three deaths to the same counter. You're not learning.,You MUST adapt your build. Chasing kiters without tools is suicide.,Coordinate with team. You cannot solo every threat.,3,Maximum escalation
Brawler,Sniper,A shield raised high leaves the heart exposed from afar.,Sniper shots ignore armor - your main defense.,Watch for laser telegraphs and dodge. Your armor won't save you.,Position behind teammates or draw fire while they counter-snipe.,1,Teaches armor limitations
Brawler,Swarm,One stone can hold back the tide but even stones erode under pressure.,Too many enemies at once / couldn't kill fast enough.,Seek AoE damage or crowd control to handle groups.,Your AoE cleave is perfect for this. Stay in the swarm and cleave.,1,Actually strong - positioning issue
Brawler,Generic,Strength means nothing if you can't close the gap.,Died to enemies you couldn't reach.,Adapt your build with ranged options or mobility items.,Draw threats close while ranged allies strike from distance.,1,Fallback message
Sharpshooter,Swarm,The perfect shot means nothing when a hundred more follow.,Low fire rate + single-target focus couldn't handle the horde.,Find piercing shots / explosive ammo / rapid-fire mods for AoE coverage.,Let AoE classes handle swarms while you focus high-value targets.,1,Core weakness teaching
Sharpshooter,Kiter,Distance is safety. You forgot to keep it.,Enemy closed the gap and you couldn't escape.,Prioritize positioning and mobility. Find knockback or slow effects.,Teammates can zone enemies away - communicate positioning.,1,Positioning lesson
Sharpshooter,Swarm,Precision demands patience you didn't have.,Rushed shots missed when accuracy mattered most.,Take your time. One perfect shot beats ten hasty ones.,Trust AoE teammates to handle crowds - focus on what you do best.,2,Escalated - panic firing
Sharpshooter,Generic,Even eagles fall when they hunt alone.,Low HP means positioning errors are fatal.,Stay at maximum range and never let enemies approach.,Your team needs your precision - stay safe and land critical shots.,1,Fallback
Tactician,Juggernaut,Not everything can be slowed frozen or controlled.,Your crowd control had no effect on this enemy.,Stack raw damage items or build into DoT when CC fails.,Zone other threats while high-damage allies burn down CC-immune targets.,1,Hard counter teaching
Tactician,Kiter,The best laid plans shatter when the enemy refuses to follow them.,Enemy movement was too chaotic to control effectively.,Adapt your zones to herd enemies not freeze them in place.,Use zones to funnel enemies toward teammates' damage.,1,Adaptation lesson
Tactician,Viper,You drew the lines. They simply didn't stay in them.,Fast enemies ignored your control zones.,Predict movement patterns or stack slows to catch speed demons.,Call out fast targets for team focus fire.,1,Speed counter
Tactician,Generic,Control is an illusion when you stand alone.,Your control effects couldn't cover all threats.,Prioritize high-value targets and let lesser enemies pass through zones.,Your zones enable team plays - coordinate focus targets.,1,Fallback
Alchemist,Viper,Venom takes time. Time you weren't given.,Enemies died or cleansed before poison could work.,Find instant damage options or slows to buy time for poison.,Let allies stall enemies while your poison spreads.,1,Core weakness
Alchemist,Swarm,Seeds planted in haste never take root.,You died before your damage over time could accumulate.,Prioritize survival items. Your strength is long fights.,Kite behind tankier teammates while poison builds up.,1,Survival lesson
Alchemist,Bomber,Your toxins were purged before they could fester.,Cleanse enemies removed all your poison stacks.,Focus cleansers first or find instant damage backup.,Call out cleansers for team to burn down quickly.,1,Counter mechanic
Alchemist,Generic,Even the deadliest poison is useless if you don't survive to see it spread.,Low HP and weak instant damage left you vulnerable.,Find sustain items or turrets to zone while poison works.,Survive behind your team - your poison does the work over time.,1,Fallback
Brawler,Anti-Synergy Item,You traded your greatest strength for fleeting power. One hit. That's all it took.,Glass Armor set your HP to 1 removing your tankiness.,High-risk builds require defensive items or perfect play.,Communicate your build - team needs to protect glass tanks.,1,Item trap lesson
Alchemist,Anti-Synergy Item,You rushed your craft. Poison needs time and you slowed your own application.,Heavy Rounds reduced fire rate crippling DoT buildup.,Read item synergies carefully. Not every damage boost helps.,Check with team before taking items that might hurt your role.,1,Item trap lesson
